curb-weight,engine-size,length,width,horsepower,city-mpg,highway-mpg,wheel-base,bore,symboling,normalized-losses,price
2548,130,0.8111484863046613,0.8902777777777777,111.0,21,27,88.6,3.47,3,122,13495.0
2548,130,0.8111484863046613,0.8902777777777777,111.0,21,27,88.6,3.47,3,122,16500.0
2823,152,0.8226814031715521,0.9097222222222222,154.0,19,26,94.5,2.68,1,122,16500.0
2337,109,0.8486304661220567,0.9194444444444444,102.0,24,30,99.8,3.19,2,164,13950.0
2824,136,0.8486304661220567,0.9222222222222224,115.0,18,22,99.4,3.19,2,164,17450.0
2507,136,0.8519942335415667,0.9208333333333332,110.0,19,25,99.8,3.19,2,122,15250.0
2844,136,0.9259971167707832,0.9916666666666668,110.0,19,25,105.8,3.19,1,158,17710.0
2954,136,0.9259971167707832,0.9916666666666668,110.0,19,25,105.8,3.19,1,122,18920.0
3086,131,0.9259971167707832,0.9916666666666668,140.0,17,20,105.8,3.13,1,158,23875.0
2395,108,0.8495915425276309,0.8999999999999999,101.0,23,29,101.2,3.5,2,192,16430.0
2395,108,0.8495915425276309,0.8999999999999999,101.0,23,29,101.2,3.5,0,192,16925.0
2710,164,0.8495915425276309,0.8999999999999999,121.0,21,28,101.2,3.31,0,188,20970.0
2765,164,0.8495915425276309,0.8999999999999999,121.0,21,28,101.2,3.31,0,188,21105.0
3055,164,0.9082172032676598,0.9291666666666668,121.0,20,25,103.5,3.31,1,122,24565.0
3230,209,0.9082172032676598,0.9291666666666668,182.0,16,22,103.5,3.62,0,122,30760.0
3380,209,0.9312830370014415,0.9430555555555556,182.0,16,22,103.5,3.62,0,122,41315.0
3505,209,0.9466602594906296,0.9847222222222224,182.0,15,20,110.0,3.62,0,122,36880.0
1488,61,0.6780394041326285,0.8374999999999999,48.0,47,53,88.4,2.91,2,121,5151.0
1874,90,0.7491590581451226,0.8833333333333333,70.0,38,43,94.5,3.03,1,98,6295.0
1909,90,0.7630946660259491,0.8833333333333333,70.0,38,43,94.5,3.03,0,81,6575.0
1876,90,0.7558865929841423,0.8861111111111111,68.0,37,41,93.7,2.97,1,118,5572.0
1876,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,1,118,6377.0
2128,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.7,3.03,1,118,7957.0
1967,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,1,148,6229.0
1989,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,1,148,6692.0
1989,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,1,148,7609.0
2191,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.7,3.03,1,148,8558.0
2535,122,0.8390197020663143,0.8972222222222221,88.0,24,30,103.3,3.34,-1,110,8921.0
2811,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.6,3,145,12964.0
1713,92,0.6948582412301778,0.8875,58.0,49,54,86.6,2.91,2,137,6479.0
1819,92,0.6948582412301778,0.8875,76.0,31,38,86.6,2.91,2,137,6855.0
1837,79,0.7208073041806824,0.8888888888888888,60.0,38,42,93.7,2.91,1,101,5399.0
1940,92,0.7208073041806824,0.8888888888888888,76.0,30,34,93.7,2.91,1,101,6529.0
1956,92,0.7208073041806824,0.8888888888888888,76.0,30,34,93.7,2.91,1,101,7129.0
2010,92,0.7851994233541567,0.8888888888888888,76.0,30,34,96.5,2.91,0,110,7295.0
2024,92,0.7549255165785679,0.8875,76.0,30,34,96.5,2.92,0,78,7295.0
2236,110,0.8049014896684287,0.9055555555555556,86.0,27,33,96.5,3.15,0,106,7895.0
2289,110,0.8049014896684287,0.9055555555555556,86.0,27,33,96.5,3.15,0,106,9095.0
2304,110,0.8428640076886112,0.9055555555555556,86.0,27,33,96.5,3.15,0,85,8845.0
2372,110,0.8428640076886112,0.8680555555555556,86.0,27,33,96.5,3.15,0,85,10295.0
2465,110,0.8428640076886112,0.9055555555555556,101.0,24,28,96.5,3.15,0,85,12945.0
2293,110,0.8125901009130225,0.9166666666666666,100.0,25,31,96.5,3.15,1,107,10345.0
2337,111,0.8202787121576165,0.8583333333333333,78.0,24,29,94.3,3.31,0,122,6785.0
2734,119,0.8294089380105718,0.9055555555555556,90.0,24,29,96.0,3.43,2,122,11048.0
4066,258,0.9591542527630946,0.9666666666666666,176.0,15,19,113.0,3.63,0,145,32250.0
4066,258,0.9591542527630946,0.9666666666666666,176.0,15,19,113.0,3.63,0,122,35550.0
3950,326,0.921191734742912,0.9805555555555556,262.0,13,17,102.0,3.54,0,122,36000.0
1890,91,0.7645362806343105,0.8916666666666667,68.0,30,31,93.1,3.03,1,104,5195.0
1900,91,0.7645362806343105,0.8916666666666667,68.0,31,38,93.1,3.03,1,104,6095.0
1905,91,0.7645362806343105,0.8916666666666667,68.0,31,38,93.1,3.03,1,104,6795.0
1945,91,0.8015377222489188,0.8916666666666667,68.0,31,38,93.1,3.03,1,113,6695.0
1950,91,0.8015377222489188,0.8916666666666667,68.0,31,38,93.1,3.08,1,113,7395.0
2380,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,3,150,10945.0
2380,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,3,150,11845.0
2385,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,3,150,13645.0
2500,80,0.8121095627102355,0.9125,135.0,16,23,95.3,3.3297512437810965,3,150,15645.0
2385,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,1,129,8845.0
2410,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,0,115,8495.0
2385,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,1,129,10595.0
2410,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,0,115,10245.0
2443,122,0.8543969245555022,0.9236111111111112,64.0,36,42,98.8,3.39,0,122,10795.0
2425,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,0,115,11245.0
2670,140,0.8409418548774628,0.9180555555555556,120.0,19,27,104.9,3.76,0,118,18280.0
2700,134,0.8409418548774628,0.9180555555555556,72.0,31,39,104.9,3.43,0,122,18344.0
3515,183,0.9173474291206152,0.9763888888888888,123.0,22,25,110.0,3.58,-1,93,25552.0
3750,183,0.9173474291206152,0.9763888888888888,123.0,22,25,110.0,3.58,-1,93,28248.0
3495,183,0.9010091302258528,0.9763888888888888,123.0,22,25,106.7,3.58,0,93,28176.0
3770,183,0.9735703988467084,0.9958333333333332,123.0,22,25,115.6,3.58,-1,93,31600.0
3740,234,0.9735703988467084,0.9958333333333332,155.0,16,18,115.6,3.46,-1,122,34184.0
3685,234,0.8664103796251803,0.9791666666666666,155.0,16,18,96.6,3.46,3,142,35056.0
3900,308,1.0,0.9958333333333332,184.0,14,16,120.9,3.8,0,122,40960.0
3715,304,0.957232099951946,1.0,184.0,14,16,112.0,3.8,1,122,45400.0
2910,140,0.8572801537722249,0.9444444444444444,175.0,19,24,102.7,3.78,1,122,16503.0
1918,92,0.7558865929841423,0.8944444444444445,68.0,37,41,93.7,2.97,2,161,5389.0
1944,92,0.7558865929841423,0.8944444444444445,68.0,31,38,93.7,2.97,2,161,6189.0
2004,92,0.7558865929841423,0.8944444444444445,68.0,31,38,93.7,2.97,2,161,6669.0
2145,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.0,3.03,1,161,7689.0
2370,110,0.8313310908217203,0.9083333333333334,116.0,23,30,96.3,3.17,3,153,9959.0
2328,122,0.8313310908217203,0.9083333333333334,88.0,25,32,96.3,3.35,3,153,8499.0
2833,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.58,3,122,12629.0
2921,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,3,122,14869.0
2926,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,3,122,14489.0
2365,122,0.8284478616049976,0.9083333333333334,88.0,25,32,96.3,3.35,1,125,6989.0
2405,122,0.8284478616049976,0.9083333333333334,88.0,25,32,96.3,3.35,1,125,8189.0
